GeneID (model organism),Official Gene Symbol (model organism),Suppressor found in (model organism),Human Ortholog Name (Best Match),Human Ortholog GeneID (Best Match),"Other Human Orthologs (up to 3, with GeneID)",ALS Model,How was the suppressor found/tested?,PMCID/PMID,,,,,,,,,,,,,,,,,
32970,Ranbp21,D. melanogaster,XPO5,57510,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
37563,mRpS29,D. melanogaster,DAP3,7818,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
38345,mRpS35,D. melanogaster,MRPS35,60488,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
47873,bgcn,D. melanogaster,YTHDC2,64848,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
37146,CG30122,D. melanogaster,HNRNPUL1,11100,"HNRNPU (3192), HNRNPUL2 (221092)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
35016,Cas,D. melanogaster,CSE1L,1434,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
33638,Traf4,D. melanogaster,TRAF2,9618,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
36619,tra2,D. melanogaster,RBMX,27316,"TRA2A (29896), TRA2B (6434), RBMY1D (378949)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
33304,CG4887,D. melanogaster,RBM10,8241,"RBM5 (10181), RBM6 (10180)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
41295,Art1,D. melanogaster,PRMT1,3276,PRMT8 (56341),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
40169,CG8334,D. melanogaster,USP10,9100,"USP6 (9098), USP32 (84669)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
34885,vig,D. melanogaster,SERBP1,26135,HABP4 (22927),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
36466,CG4679,D. melanogaster,PTCD3,55037,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
32009,Imp,D. melanogaster,IGF2BP1,10642,"IGF2BP2 (10644), IGF2BP3 (10643)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
41952,msps,D. melanogaster,CKAP5,9793,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
37580,RpS16,D. melanogaster,RPS16,6217,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
34412,mRpS7,D. melanogaster,MRPS7,51081,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
317923,Csas,D. melanogaster,CMAS,55907,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
36809,csul,D. melanogaster,PRMT5,10419,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
,I(2)03709,D. melanogaster,PHB2,11331,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
43842,CG11148,D. melanogaster,GIGYF2,26058,GIGYF1 (64599),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
39483,SRm160,D. melanogaster,SRRM1,10250,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
34309,RpS2,D. melanogaster,RPS2,6187,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
48971,Atpalpha,D. melanogaster,ATP1A3,478,"ATP1A1 (476), ATP1A2 (477), ATP1A4 (480)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
32700,RpS5a,D. melanogaster,RPS5,6193,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
41666,sqd,D. melanogaster,HNRNPAB,3182,"HNRNPDL (9987), HNRNPD (3184)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
59172,Capr,D. melanogaster,CAPRIN1,4076,"CAPRIN2 (65981), CBLN3 (643866), CBLN2 (CBLN2)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
42460,Syp,D. melanogaster,SYNCRIP,10492,"HNRNPR (10236), RBM47 (54502), RBM46 (166863)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
47998,rin,D. melanogaster,G3BP1,10146,G3BP2 (9908),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
2768945,CG42458,D. melanogaster,HNRNPC,3183,"HNRNPCL1 (343069), RALY (22913), RALYL (138046)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
64880,chico,D. melanogaster,IRS4,8471,"IRS2 (8660), IRS1 (3667)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
53567,larp,D. melanogaster,LARP1,23367,LARP1B (55132),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
37798,Nap1,D. melanogaster,NAP1L1,4673,"NAP1L4 (4676), NAP1L2 (4674), NAP1L3 (4675)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
39491,Trn,D. melanogaster,TNPO1,3842,TNPO2 (30000),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
35771,lig,D. melanogaster,UBAP2L,9898,UBAP2 (55833),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
30984,pcl,D. melanogaster,PGC,5225,CTSE (1510),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,"Zhang et al 2015 - Rothstein, Tom Llyod",,,,,,,,,,,,,,,,
31121,CG32809,D. melanogaster,KIAA1217,56243,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
31136,CG42666,D. melanogaster,REXO1L1P,254958,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
31597,CG3226,D. melanogaster,CACYBP,27101,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
31647,cm,D. melanogaster,AP3M2,10947,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
31717,sn,D. melanogaster,FSCN1,6624,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
31767,nAcRalpha-7E,D. melanogaster,CHRNA6,8973,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
31834,HP1b,D. melanogaster,CBX3,11335,CBX1 (10951),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
32007,sesB,D. melanogaster,SLC25A4,291,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
32009,Imp,D. melanogaster,IGF2BP1,10642,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
32063,CG42683,D. melanogaster,KCNIP4,80333,KCNIP3 (15523),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
32222,Tis11,D. melanogaster,ZFP36L1,677,ZFP36 (7358),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
32245,fne,D. melanogaster,ELAVL2,1993,ELAVL4 (1996),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
32504,CG8128,D. melanogaster,NUDT6,11162,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
32536,sd,D. melanogaster,TEAD1,7003,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
32551,CycD,D. melanogaster,CCND2,894,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
32696,Arpc3B,D. melanogaster,ARPC3,10094,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
32948,Tao-1,D. melanogaster,TAOK1,57551,TAOK3 (51347),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
32962,CG14222,D. melanogaster,NAA20,51126,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
33219,crq,D. melanogaster,SCARB1,949,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
33259,Clp,D. melanogaster,CPSF4,10898,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
33366,CG15358,D. melanogaster,MBL2,4153,CD209 (30835),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
33427,VGlut,D. melanogaster,SLC17A6,57084,SLC17A7 (57030),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
33432,dpp,D. melanogaster,BMP2,650,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
33473,Syt1,D. melanogaster,SYT2,127833,SYT1 (6857),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
33602,bowl,D. melanogaster,OSR2,116039,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
33838,Tsp26A,D. melanogaster,TSPAN5,10098,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
33968,Hrb27C,D. melanogaster,DAZAP1,26528,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
33991,Mnn1,D. melanogaster,MEN1,4221,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
34119,Su(var)205,D. melanogaster,CBX1,10951,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
34160,CG13384,D. melanogaster,SLC36A4,120103,SLC36A1 (206358),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
34192,Sema-1a,D. melanogaster,SEMA6A,57556,SEMA6D (80031),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
34225,alien,D. melanogaster,COPS2,9318,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
34338,Pen,D. melanogaster,KPNA2,3838,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
34590,Tsp33B,D. melanogaster,CD37,951,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
34592,crol,D. melanogaster,ZNF569,148266,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
34708,Sirt2,D. melanogaster,SIRT1,23411,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
34710,CG5439,D. melanogaster,SNX29,92017,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
34762,CG9267,D. melanogaster,HACD3,51495,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
34883,TfIIS,D. melanogaster,TCEA3,6920,TCEA1 (6917),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
34883,TfIIS,D. melanogaster,TCEA3,6920,TCEA1 (6917),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
35070,CadN,D. melanogaster,CDH15,1013,CDH23 (64072),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
35085,Socs36E,D. melanogaster,SOCS4,122809,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
35199,gammaTub37C,D. melanogaster,TUBG1,7283,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
35246,ref(2)P,D. melanogaster,SQSTM1,8878,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
35340,dia,D. melanogaster,DIAPH2,1730,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
35523,mle,D. melanogaster,DHX9,1660,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
35535,CCHa2-R,D. melanogaster,BRS3,680,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
35600,Spn42Dc,D. melanogaster,SERPINB9,5272,SERPINI2 (5276),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
35646,Gadd45,D. melanogaster,GADD45G,10912,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
35717,tor,D. melanogaster,FGFR3,2261,"RET (5979), TEK (7010)",(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
35846,Cirl,D. melanogaster,ADGRL1,22859,ADGRL3 (23284),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
36040,TER94,D. melanogaster,VCP,7415,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
36109,whd,D. melanogaster,CPT1B,1375,CPT1C (125129),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
36379,Ak6,D. melanogaster,TAF9,6880,AK6 (102157402),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
36384,Galpha49B,D. melanogaster,GNAQ,2776,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
36404,mos,D. melanogaster,MOS,4342,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
36418,CG3814,D. melanogaster,GRINA,2907,TMBIM4 (51643),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
36571,cg,D. melanogaster,REPIN1,29803,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
36619,tra2,D. melanogaster,TRA2A,29896,TRA2B (29896),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
36864,Nach,D. melanogaster,SCNN1G,6340,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
36945,mbl,D. melanogaster,MBNL2,10150,MBNL1 (4154),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
37004,CCHa1-R,D. melanogaster,NMBR,4829,GRPR (2925),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
37117,CG5174,D. melanogaster,TPD52L2,7165,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
37191,5-HT1B,D. melanogaster,HTR1A,3350,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
37232,CalpA,D. melanogaster,CAPN9,10753,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
37376,CG3216,D. melanogaster,NPR1,4881,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
37386,shg,D. melanogaster,CDH20,28316,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
37455,Egfr,D. melanogaster,ERBB4,2066,EGFR (1956),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
37973,Dll,D. melanogaster,DLX1,1745,DLX6 (1750),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
37999,emp,D. melanogaster,SCARB2,950,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
38017,Pdk1,D. melanogaster,PDPK1,5170,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
38196,nsyb,D. melanogaster,VAMP2,6844,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
38375,CG12082,D. melanogaster,USP5,8078,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
38541,Syx17,D. melanogaster,STX17,55014,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
38545,nAcRbeta-64B,D. melanogaster,CHRNB1,1140,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
38599,CHMP2B,D. melanogaster,CHMP2B,25978,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
38736,sfl,D. melanogaster,NDST2,8509,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
38740,CG8368,D. melanogaster,LOC81691,81691,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
38850,CG7526,D. melanogaster,FBN3,84467,"CD93 (22918), CD248 (57124)",(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
38959,exo70,D. melanogaster,EXOC7,23265,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
38961,Cbl,D. melanogaster,CBL,867,"SEPT6 (23157), SEPT11 (55752)",(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
39103,Jarid2,D. melanogaster,JARID2,3720,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
39161,CG8108,D. melanogaster,CIZ1,25792,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
39165,CalpB,D. melanogaster,CAPN2,824,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
39338,RpL10Ab,D. melanogaster,RPL10A,4736,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
39588,Gbs-70E,D. melanogaster,PPP1R3C,5507,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
39844,Smn,D. melanogaster,SMN2,6607,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
39875,CG9705,D. melanogaster,CARHSP1,23589,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
40118,CG9451,D. melanogaster,ACP6,51205,ACPT (93650),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
40186,Nca,D. melanogaster,HPCAL1,3241,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
40370,Aef1,D. melanogaster,ZNF32,7580,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
40438,DNApol-eta,D. melanogaster,POLH,5429,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
40521,nAcRalpha-80B,D. melanogaster,CHRNA3,1136,,(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
40794,CG9727,D. melanogaster,RFX5,5993,RFX7 (64864),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
40827,zen2,D. melanogaster,HOXD3,3232,HOXA3 (3200),(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
40828,zen,D. melanogaster,HOXD3,3232,"HOXB3 (3213), PDX1 (3651)",(G4C2)30 expression driven in eye by GMR-GAL4,RNAi of previously identified proteins with affinity for G4C2,PMC4800742,,,,,,,,,,,,,,,,,
