,KEGG,GRxWT.C,GRxWT.Df,GRxWT.OE,GR.CxDf,WT.CxDf,GR.CxOE,WT.CxOE,GR.DfxWT.C,GR.OExWT.C
glutaconic acid,C02214,-0.302455774,0.175518153,0.345768039,-0.156895008,-0.634868935,0.486033627,-0.162190186,-0.459350782,0.183577852
glutathione,C00051,0.101224063,0.172645666,0.301889694,0.25475342,0.183331817,0.357153106,0.156487475,0.355977483,0.458377169
glyceraldehyde,C02426,0.027375107,0.305862169,0.978455199,-0.144345923,-0.422832984,0.380262246,-0.570817846,-0.116970816,0.407637353
glyceric acid,C00258,-0.080937478,-0.194207503,-0.519588774,0.193599175,0.3068692,-0.306485167,0.132166128,0.112661696,-0.387422646
glycylglycine,C02037,0.353566071,-0.637141716,-0.642202396,-0.527927435,0.462780351,-0.548486187,0.44728228,-0.174361364,-0.194920116
GMP,C00144,0.060378198,0.001884924,0.780449224,-0.108289585,-0.049796311,0.192521754,-0.527549272,-0.047911387,0.252899952
guanidine,C17349,-0.246078284,-0.317523469,-1.587945184,0.160919846,0.232365032,-0.64213615,0.69973075,-0.085158438,-0.888214434
histamine,C00388,0.309102393,-0.477042339,-0.603879395,-0.02057951,0.765565222,-0.83942245,0.073559338,0.288522883,-0.530320058
lactic acid,C01432,-0.029468723,-0.115156795,-0.234584674,0.105735018,0.19142309,-0.070573679,0.134542272,0.076266295,-0.100042401
lactose / maltose / sucrose,C00243 / C00208 / C00089,0.005581584,0.31081183,0.533498432,0.269832965,-0.035397282,0.258360258,-0.26955659,0.275414549,0.263941842
leucine / leucine(iso) / norleucine,C16439 / C16434 / C01933,-0.058250794,-0.065601895,-0.007221537,0.128934712,0.136285813,-0.016410301,-0.067439558,0.070683918,-0.074661095
L-tyrosine methyl ester,C03404,-0.129582011,0.570930796,0.057120859,0.57847023,-0.122042577,0.490552159,0.303849289,0.448888219,0.360970148
malic acid,C00711,-0.389669687,1.066706199,-0.017802427,1.608158366,0.151782481,-0.073883865,-0.445751124,1.21848868,-0.463553551
malonic acid,C00383,0.161995241,-0.401016259,0.115868059,-0.263748604,0.299262895,-0.21389846,-0.167771277,-0.101753363,-0.051903219
methyl acetoacetate,n/a,-0.10081332,0.200270307,0.54018657,-0.216310401,-0.517394028,0.400126148,-0.240873743,-0.317123721,0.299312828
mevalonic acid,C00418,0.140527927,0.315111221,-1.550338224,-0.665773173,-0.840356468,-1.937957179,-0.247091028,-0.525245247,-1.797429252
N1/N8-acetylspermidine,C00612 / C01029,0.124034304,2.361746222,0.096264297,1.957493093,-0.280218824,-0.594514856,-0.56674485,2.081527397,-0.470480553
N1-acetylspermine,C02567,-0.373767515,-1.24917763,-2.66459248,0.338435512,1.213845627,-0.576289107,1.714535859,-0.035332002,-0.950056621
N-acetyl-DL-serine / O-acetyl-L-serine,n/a / C00979,-0.090076704,-0.03837299,-0.070268827,0.139302834,0.08759912,-0.117831564,-0.137639441,0.04922613,-0.207908268
N-acetylglycine,n/a,0.039091871,0.062287159,0.000127625,0.25200435,0.228809061,-0.191861272,-0.152897026,0.29109622,-0.152769401
NADH,C00004,-0.256550013,-0.655020348,-0.857943347,0.524485269,0.922955603,-0.147507014,0.453886319,0.267935256,-0.404057028
nicotinic acid,C00253,0.02860945,-0.144844876,-0.012158561,0.039119478,0.212573805,-0.050308358,-0.009540347,0.067728928,-0.021698908
norepinephrine / pyridoxine,C00547 / C00314,-0.192719855,0.167463124,-0.635984833,-0.529442784,-0.889625763,-0.297591946,0.145673031,-0.722162639,-0.490311802
phenethylamine,C05332,-0.024085941,0.272676074,-0.888703801,-0.736463575,-1.03322559,-0.3299051,0.53471276,-0.760549515,-0.353991041
pseudouridine,C02067,0.112906781,-0.523953887,-0.215846562,-0.287572211,0.349288456,-0.103097235,0.225656108,-0.174665431,0.009809546
pyroglutamic acid,C01879-C02237,0.027150869,0.351721812,0.109819982,0.190971967,-0.133598976,-0.02333215,-0.106001263,0.218122836,0.003818719
pyruvic acid,C00022,-0.050155915,0.695687813,0.558751475,0.625481695,-0.120362033,0.129551642,-0.479355748,0.57532578,0.079395727
sarcosine,C00213,-0.634515935,-1.583140445,-0.289462046,0.952414139,1.901038649,0.666226004,0.321172115,0.317898205,0.031710069
spermidine,C00315,0.06711403,-0.296153505,-0.756181292,0.131834034,0.495101569,-0.268460581,0.554834742,0.198948064,-0.20134655
taurine,C00245,0.099382978,0.083369364,0.199825261,0.319752594,0.335766208,0.16289017,0.062447886,0.419135572,0.262273148
thiamine diphosphate+,C00068,-0.521268793,-0.022976061,-0.376527334,0.074764166,-0.423528566,0.077493985,-0.067247474,-0.446504627,-0.443774807
tyramine,C00483,0.05060647,0.101570559,0.176618804,-0.965824764,-1.016788853,-0.36686316,-0.492875495,-0.915218294,-0.31625669
tyrosine,C01536,-0.04214462,-0.234922524,-0.249147664,-0.038955006,0.153822898,-0.027495593,0.179507451,-0.081099626,-0.069640213
uracil,C00106,0.157185331,0.334973078,0.078341965,-0.237037884,-0.41482563,-0.265038289,-0.186194922,-0.079852552,-0.107852957
xanthosine,C01762,-0.263473834,0.111902382,-0.403334,0.523556765,0.148180549,0.528278775,0.668138942,0.260082931,0.264804941
xanthurenic acid,C02470,0.142303972,-1.036474073,-1.164614745,-1.188251983,-0.009473937,-0.285396568,1.021522149,-1.045948011,-0.143092596
xylitol / arabitol / ribito,C00379 / C01904 / C00532 / C00474,0.06258662,0.339960928,0.38748135,0.529743892,0.252369585,0.320174255,-0.004720475,0.592330512,0.382760875
"1,3-bisphospho-D-glycerate",C00236,NA,NA,NA,NA,-0.070616047,NA,NA,NA,NA
1-methylnicotinamide+,C02918,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-phenylethylamine,C02455,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-ketovaleric acid,C06255,-0.351081924,NA,0.105413787,NA,-0.434638797,0.670092299,0.213596589,NA,0.319010375
2-oxobutanoic acid,C00109,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3,4-dihydroxymandelic acid",C05580,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3,4-dihydroxyphenylpropanoate",C10447,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-hydroxybutanoic acid,C01089,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-aminopentanoic acid,C00431,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-methyl-THF,C00440,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-O-methylguanine,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-phosphoglucono-D-lactone,C01236,NA,-1.012416764,1.841503604,NA,1.046531365,NA,-0.305278831,0.034114601,1.536224774
acetyl-CoA,C00024,NA,NA,NA,NA,NA,NA,NA,NA,NA
alanine methyl ester,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA
anandamide,C11695,NA,NA,NA,NA,NA,NA,NA,NA,NA
bilirubin,C00486,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenzyme A +,C00010,NA,-0.283581577,NA,NA,0.577863937,NA,NA,0.29428236,0.635441788
cortisol,C00735,NA,NA,NA,NA,NA,NA,NA,NA,NA
creatinine,C00791,NA,NA,NA,NA,NA,NA,NA,NA,NA
CTP,C00063,NA,NA,NA,NA,-3.972448365,NA,NA,NA,-3.403143745
cysteine-S-sulfate,C05824,NA,NA,NA,-0.849050685,NA,NA,NA,NA,NA
dADP,C00206,3.412097832,4.097059467,2.594756452,0.881862412,0.196900777,-0.627938819,0.18940256,4.293960244,2.784159013
dATP,C00131,NA,NA,NA,NA,NA,NA,NA,NA,NA
dCDP,C00705,NA,NA,NA,NA,NA,NA,NA,NA,NA
dCMP,C00239,-1.428113057,-0.49920923,-0.442687798,1.009422382,0.080518556,0.125828764,-0.859596496,-0.418690675,-1.302284293
dCTP,C00458,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOPAC,C01161,NA,NA,NA,NA,NA,NA,NA,NA,NA
dTTP,C00459,NA,NA,NA,NA,NA,NA,NA,NA,NA
dUMP,C00365,NA,NA,NA,NA,NA,NA,NA,NA,NA
dUTP,C00460,NA,NA,NA,NA,NA,NA,NA,NA,NA
folate,C00504,NA,NA,NA,NA,NA,NA,NA,NA,NA
geranyl-PP,C00341,NA,NA,NA,NA,NA,NA,NA,NA,NA
guanidinoacetate,C00581,NA,NA,NA,NA,NA,NA,NA,NA,NA
gulonic-lactone,C01040,NA,NA,NA,NA,NA,NA,NA,NA,NA
homocysteine,C05330,NA,NA,NA,NA,NA,NA,NA,NA,-0.491412156
homocystine,C01817,NA,NA,NA,NA,NA,NA,NA,NA,NA
hydroxypyruvic acid,C00168,NA,NA,NA,NA,NA,NA,NA,NA,NA
isopentenyl pyrophosphate,C00129,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-cysteic acid,C00506,-1.627135917,-0.992741832,NA,1.420544691,0.786150606,NA,0.33785789,-0.206591226,NA
levulinic acid,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA
lipoamide,C00248,NA,NA,NA,NA,NA,NA,NA,NA,NA
malonyl-CoA,C00083,NA,NA,NA,NA,NA,NA,NA,NA,NA
mandelic acid / vanillin,C01984 / C00755,NA,NA,NA,NA,NA,NA,NA,NA,NA
methylglyoxal,C00546,-1.769265891,0.454464948,-1.173755034,1.121776829,-1.101954009,0.853861414,0.258350557,-0.647489062,-0.915404477
N-acetylaspartylglutamic acid,C12270,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-carbamoyl-L-aspartate,C00438,0.843925588,-1.267019998,2.092970291,-1.17537529,0.935570296,-0.932761757,-2.18180646,-0.331449702,-0.088836169
nebularine,C01736,0.957404548,NA,0.624877896,NA,NA,-0.385548803,-0.053022151,NA,0.571855745
nicotinamide,C00153,-1.059517309,-0.710031302,-0.92891903,-0.272642658,-0.622128665,0.032402826,-0.098195453,-1.332159967,-1.027114483
N-methyl-alanine,C02721,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-methyltryptamine,C06213,NA,NA,NA,NA,NA,NA,NA,NA,NA
octopamine,C04227,NA,NA,NA,NA,NA,NA,NA,NA,NA
orotidylic acid,C01103,NA,NA,NA,NA,NA,NA,NA,NA,NA
oxalacetic acid,C00036,NA,NA,NA,NA,NA,NA,NA,NA,NA
phenylephrine / synephrine,C07441 / C04548,NA,NA,NA,NA,NA,NA,NA,NA,NA
phenylethanolamine,C02735,NA,NA,NA,NA,NA,NA,NA,NA,NA
phosphocreatine,C02305,0.699785846,-1.208824292,-0.773101774,-0.173464788,1.735145351,-0.248135076,1.224752545,0.526321058,0.45165077
picolinic acid,C10164,NA,NA,NA,NA,NA,NA,NA,NA,NA
propionic acid,C00163,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRPP,C00119,NA,NA,NA,NA,NA,NA,NA,NA,NA
purine,C15587,NA,NA,NA,NA,NA,NA,NA,NA,NA
quinolinic acid,C03722,NA,NA,NA,NA,NA,NA,NA,NA,NA
S-adenosylmethioninamine+,C01137,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAICAR,C04823,NA,-0.360837704,-1.064428607,NA,NA,NA,NA,NA,NA
succinic semialdehyde,C00232,NA,NA,NA,NA,NA,NA,NA,NA,NA
succinyl-CoA,C00091,NA,NA,NA,NA,NA,NA,NA,NA,NA
tryptamine,C00398,NA,NA,NA,NA,NA,NA,NA,NA,NA
uracil 5-carboxylic acid,C03030,NA,NA,NA,-0.174550273,NA,0.517172173,NA,NA,NA
UTP,C00075,-3.725446258,NA,NA,NA,-3.899243688,0.197835582,NA,NA,-3.527610675
