"","category","term","ontology"
"GO:0006554","GO:0006554","lysine catabolic process","BP"
"GO:0006556","GO:0006556","S-adenosylmethionine biosynthetic process","BP"
"GO:0006864","GO:0006864","pyrimidine nucleotide transport","BP"
"GO:0007107","GO:0007107","membrane addition at site of cytokinesis","BP"
"GO:0007172","GO:0007172","signal complex assembly","BP"
"GO:0008373","GO:0008373","sialyltransferase activity","MF"
"GO:0008452","GO:0008452","RNA ligase activity","MF"
"GO:0008476","GO:0008476","protein-tyrosine sulfotransferase activity","MF"
"GO:0008482","GO:0008482","sulfite oxidase activity","MF"
"GO:0008681","GO:0008681","2-octaprenyl-6-methoxyphenol hydroxylase activity","MF"
"GO:0008808","GO:0008808","cardiolipin synthase activity","MF"
"GO:0008970","GO:0008970","phospholipase A1 activity","MF"
"GO:0009353","GO:0009353","mitochondrial oxoglutarate dehydrogenase complex","CC"
"GO:0010777","GO:0010777","meiotic mismatch repair involved in reciprocal meiotic recombination","BP"
"GO:0010961","GO:0010961","intracellular magnesium ion homeostasis","BP"
"GO:0010995","GO:0010995","free ubiquitin chain depolymerization","BP"
"GO:0014049","GO:0014049","positive regulation of glutamate secretion","BP"
"GO:0015203","GO:0015203","polyamine transmembrane transporter activity","MF"
"GO:0015218","GO:0015218","pyrimidine nucleotide transmembrane transporter activity","MF"
"GO:0015228","GO:0015228","coenzyme A transmembrane transporter activity","MF"
"GO:0015230","GO:0015230","FAD transmembrane transporter activity","MF"
"GO:0015245","GO:0015245","fatty acid transmembrane transporter activity","MF"
"GO:0015292","GO:0015292","uniporter activity","MF"
"GO:0015757","GO:0015757","galactose transmembrane transport","BP"
"GO:0015789","GO:0015789","UDP-N-acetylgalactosamine transmembrane transport","BP"
"GO:0015846","GO:0015846","polyamine transport","BP"
"GO:0017134","GO:0017134","fibroblast growth factor binding","MF"
"GO:0019178","GO:0019178","NADP phosphatase activity","MF"
"GO:0019264","GO:0019264","glycine biosynthetic process from serine","BP"
"GO:0030302","GO:0030302","deoxynucleotide transport","BP"
"GO:0030572","GO:0030572","phosphatidyltransferase activity","MF"
"GO:0030894","GO:0030894","replisome","CC"
"GO:0031264","GO:0031264","death-inducing signaling complex","CC"
"GO:0031265","GO:0031265","CD95 death-inducing signaling complex","CC"
"GO:0031464","GO:0031464","Cul4A-RING E3 ubiquitin ligase complex","CC"
"GO:0031907","GO:0031907","microbody lumen","CC"
"GO:0032471","GO:0032471","negative regulation of endoplasmic reticulum calcium ion concentration","BP"
"GO:0032516","GO:0032516","positive regulation of phosphoprotein phosphatase activity","BP"
"GO:0032892","GO:0032892","positive regulation of organic acid transport","BP"
"GO:0033017","GO:0033017","sarcoplasmic reticulum membrane","CC"
"GO:0033211","GO:0033211","adiponectin-activated signaling pathway","BP"
"GO:0033290","GO:0033290","eukaryotic 48S preinitiation complex","CC"
"GO:0033316","GO:0033316","meiotic spindle assembly checkpoint signaling","BP"
"GO:0033567","GO:0033567","DNA replication, Okazaki fragment processing","BP"
"GO:0033919","GO:0033919","glucan 1,3-alpha-glucosidase activity","MF"
"GO:0034112","GO:0034112","positive regulation of homotypic cell-cell adhesion","BP"
"GO:0034353","GO:0034353","mRNA 5'-diphosphatase activity","MF"
"GO:0034512","GO:0034512","box C/D RNA binding","MF"
"GO:0034713","GO:0034713","type I transforming growth factor beta receptor binding","MF"
"GO:0035338","GO:0035338","long-chain fatty-acyl-CoA biosynthetic process","BP"
"GO:0035621","GO:0035621","ER to Golgi ceramide transport","BP"
"GO:0035964","GO:0035964","COPI-coated vesicle budding","BP"
"GO:0036295","GO:0036295","cellular response to increased oxygen levels","BP"
"GO:0036449","GO:0036449","microtubule minus-end","CC"
"GO:0042049","GO:0042049","intracellular acyl-CoA homeostasis","BP"
"GO:0042283","GO:0042283","dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity","MF"
"GO:0042292","GO:0042292","URM1 activating enzyme activity","MF"
"GO:0042781","GO:0042781","3'-tRNA processing endoribonuclease activity","MF"
"GO:0043060","GO:0043060","meiotic metaphase I homologous chromosome alignment","BP"
"GO:0043221","GO:0043221","SMC family protein binding","MF"
"GO:0043334","GO:0043334","2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity","MF"
"GO:0043337","GO:0043337","cardiolipin synthase (CMP-forming)","MF"
"GO:0043552","GO:0043552","positive regulation of phosphatidylinositol 3-kinase activity","BP"
"GO:0043601","GO:0043601","nuclear replisome","CC"
"GO:0043950","GO:0043950","positive regulation of cAMP-mediated signaling","BP"
"GO:0044610","GO:0044610","FMN transmembrane transporter activity","MF"
"GO:0044620","GO:0044620","ACP phosphopantetheine attachment site binding","MF"
"GO:0044747","GO:0044747","pre-miRNA 3'-end processing","BP"
"GO:0044748","GO:0044748","3'-5'-exoribonuclease activity involved in mature miRNA 3'-end processing","MF"
"GO:0044779","GO:0044779","meiotic spindle checkpoint signaling","BP"
"GO:0045016","GO:0045016","mitochondrial magnesium ion transmembrane transport","BP"
"GO:0045771","GO:0045771","negative regulation of autophagosome size","BP"
"GO:0047464","GO:0047464","heparosan-N-sulfate-glucuronate 5-epimerase activity","MF"
"GO:0047620","GO:0047620","acylglycerol kinase activity","MF"
"GO:0048200","GO:0048200","Golgi transport vesicle coating","BP"
"GO:0048205","GO:0048205","COPI coating of Golgi vesicle","BP"
"GO:0050062","GO:0050062","long-chain-fatty-acyl-CoA reductase activity","MF"
"GO:0050265","GO:0050265","RNA uridylyltransferase activity","MF"
"GO:0050309","GO:0050309","sugar-terminal-phosphatase activity","MF"
"GO:0051192","GO:0051192","prosthetic group binding","MF"
"GO:0051267","GO:0051267","CP2 mannose-ethanolamine phosphotransferase activity","MF"
"GO:0051954","GO:0051954","positive regulation of amine transport","BP"
"GO:0051957","GO:0051957","positive regulation of amino acid transport","BP"
"GO:0051990","GO:0051990","(R)-2-hydroxyglutarate dehydrogenase activity","MF"
"GO:0052856","GO:0052856","NADHX epimerase activity","MF"
"GO:0060698","GO:0060698","endoribonuclease inhibitor activity","MF"
"GO:0061711","GO:0061711","N(6)-L-threonylcarbamoyladenine synthase activity","MF"
"GO:0061751","GO:0061751","neutral sphingomyelin phosphodiesterase activity","MF"
"GO:0061860","GO:0061860","DNA clamp unloader activity","MF"
"GO:0062111","GO:0062111","zinc ion import into organelle","BP"
"GO:0070150","GO:0070150","mitochondrial glycyl-tRNA aminoacylation","BP"
"GO:0070184","GO:0070184","mitochondrial tyrosyl-tRNA aminoacylation","BP"
"GO:0070728","GO:0070728","leucine binding","MF"
"GO:0070830","GO:0070830","bicellular tight junction assembly","BP"
"GO:0070905","GO:0070905","serine binding","MF"
"GO:0071076","GO:0071076","RNA 3' uridylation","BP"
"GO:0071294","GO:0071294","cellular response to zinc ion","BP"
"GO:0071807","GO:0071807","replication fork arrest involved in DNA replication termination","BP"
"GO:0071885","GO:0071885","N-terminal protein N-methyltransferase activity","MF"
"GO:0071942","GO:0071942","XPC complex","CC"
"GO:0071988","GO:0071988","protein localization to spindle pole body","BP"
"GO:0080122","GO:0080122","AMP transmembrane transporter activity","MF"
"GO:0080132","GO:0080132","fatty acid alpha-hydroxylase activity","MF"
"GO:0080154","GO:0080154","regulation of fertilization","BP"
"GO:0090218","GO:0090218","positive regulation of lipid kinase activity","BP"
"GO:0090433","GO:0090433","palmitoyl-CoA ligase activity","MF"
"GO:0090486","GO:0090486","small RNA 2'-O-methyltransferase activity","MF"
"GO:0090600","GO:0090600","alpha-1,3-glucosidase activity","MF"
"GO:0090615","GO:0090615","mitochondrial mRNA processing","BP"
"GO:0097089","GO:0097089","methyl-branched fatty acid metabolic process","BP"
"GO:0097199","GO:0097199","cysteine-type endopeptidase activity involved in apoptotic signaling pathway","MF"
"GO:0097370","GO:0097370","protein O-GlcNAcylation via threonine","BP"
"GO:0097503","GO:0097503","sialylation","BP"
"GO:0097621","GO:0097621","monoamine oxidase activity","MF"
"GO:0097629","GO:0097629","extrinsic component of omegasome membrane","CC"
"GO:0097632","GO:0097632","extrinsic component of phagophore assembly site membrane","CC"
"GO:0097682","GO:0097682","intracellular phosphatidylinositol-3,5-bisphosphate-sensitive monatomic cation channel activity","MF"
"GO:0099560","GO:0099560","synaptic membrane adhesion","BP"
"GO:0102757","GO:0102757","NADPH phosphatase activity","MF"
"GO:0106219","GO:0106219","zinc ion sensor activity","MF"
"GO:0106359","GO:0106359","2-hydroxyacyl-CoA lyase activity","MF"
"GO:0110104","GO:0110104","mRNA alternative polyadenylation","BP"
"GO:0140040","GO:0140040","mitochondrial polycistronic RNA processing","BP"
"GO:0140285","GO:0140285","endosome fission","BP"
"GO:0140414","GO:0140414","phosphopantetheine-dependent carrier activity","MF"
"GO:0140608","GO:0140608","cysteine-type endopeptidase activator activity","MF"
"GO:0140784","GO:0140784","metal ion sensor activity","MF"
"GO:0140927","GO:0140927","cyclic-di-GMP transmembrane transporter activity","MF"
"GO:0140966","GO:0140966","piRNA-mediated heterochromatin formation","BP"
"GO:0140979","GO:0140979","intracellular nucleotide homeostasis","BP"
"GO:1900101","GO:1900101","regulation of endoplasmic reticulum unfolded protein response","BP"
"GO:1900102","GO:1900102","negative regulation of endoplasmic reticulum unfolded protein response","BP"
"GO:1901020","GO:1901020","negative regulation of calcium ion transmembrane transporter activity","BP"
"GO:1901895","GO:1901895","negative regulation of ATPase-coupled calcium transmembrane transporter activity","BP"
"GO:1902047","GO:1902047","polyamine transmembrane transport","BP"
"GO:1902321","GO:1902321","methyl-branched fatty acid biosynthetic process","BP"
"GO:1902363","GO:1902363","regulation of protein localization to spindle pole body","BP"
"GO:1902365","GO:1902365","positive regulation of protein localization to spindle pole body","BP"
"GO:1902977","GO:1902977","mitotic DNA replication preinitiation complex assembly","BP"
"GO:1903296","GO:1903296","positive regulation of glutamate secretion, neurotransmission","BP"
"GO:1903328","GO:1903328","positive regulation of tRNA metabolic process","BP"
"GO:1903349","GO:1903349","omegasome membrane","CC"
"GO:1903461","GO:1903461","Okazaki fragment processing involved in mitotic DNA replication","BP"
"GO:1903852","GO:1903852","positive regulation of cristae formation","BP"
"GO:1904257","GO:1904257","zinc ion import into Golgi lumen","BP"
"GO:1904351","GO:1904351","negative regulation of protein catabolic process in the vacuole","BP"
"GO:1905166","GO:1905166","negative regulation of lysosomal protein catabolic process","BP"
"GO:1905340","GO:1905340","regulation of protein localization to kinetochore","BP"
"GO:1905342","GO:1905342","positive regulation of protein localization to kinetochore","BP"
"GO:1905371","GO:1905371","ceramide phosphoethanolamine metabolic process","BP"
"GO:1905373","GO:1905373","ceramide phosphoethanolamine biosynthetic process","BP"
"GO:1990070","GO:1990070","TRAPPI protein complex","CC"
"GO:1990189","GO:1990189","peptide-serine-alpha-N-acetyltransferase activity","MF"
"GO:1990253","GO:1990253","cellular response to leucine starvation","BP"
"GO:1990519","GO:1990519","pyrimidine nucleotide import into mitochondrion","BP"
"GO:1990616","GO:1990616","magnesium ion export from mitochondrion","BP"
"GO:2000001","GO:2000001","regulation of DNA damage checkpoint","BP"
"GO:2000049","GO:2000049","positive regulation of cell-cell adhesion mediated by cadherin","BP"
"GO:2000235","GO:2000235","regulation of tRNA processing","BP"
"GO:2000237","GO:2000237","positive regulation of tRNA processing","BP"
"GO:2000625","GO:2000625","regulation of miRNA catabolic process","BP"
"GO:2000627","GO:2000627","positive regulation of miRNA catabolic process","BP"
"GO:2000628","GO:2000628","regulation of miRNA metabolic process","BP"
"GO:2000630","GO:2000630","positive regulation of miRNA metabolic process","BP"
"GO:2001151","GO:2001151","regulation of renal water transport","BP"
"GO:2001272","GO:2001272","positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis","BP"
"GO:0016763","GO:0016763","pentosyltransferase activity","MF"
"GO:0045739","GO:0045739","positive regulation of DNA repair","BP"
"GO:0019985","GO:0019985","translesion synthesis","BP"
"GO:0031144","GO:0031144","proteasome localization","BP"
"GO:0071630","GO:0071630","nuclear protein quality control by the ubiquitin-proteasome system","BP"
"GO:0097222","GO:0097222","mitochondrial mRNA polyadenylation","BP"
"GO:1990120","GO:1990120","messenger ribonucleoprotein complex assembly","BP"
"GO:0043695","GO:0043695","detection of pheromone","BP"
"GO:0006656","GO:0006656","phosphatidylcholine biosynthetic process","BP"
"GO:0004032","GO:0004032","alditol:NADP+ 1-oxidoreductase activity","MF"
"GO:0070449","GO:0070449","elongin complex","CC"
"GO:0006739","GO:0006739","NADP metabolic process","BP"
"GO:0008745","GO:0008745","N-acetylmuramoyl-L-alanine amidase activity","MF"
"GO:0043539","GO:0043539","protein serine/threonine kinase activator activity","MF"
"GO:0046597","GO:0046597","negative regulation of viral entry into host cell","BP"
"GO:1903901","GO:1903901","negative regulation of viral life cycle","BP"
"GO:0140571","GO:0140571","transmembrane ascorbate ferrireductase activity","MF"
"GO:0000719","GO:0000719","photoreactive repair","BP"
"GO:0006290","GO:0006290","pyrimidine dimer repair","BP"
"GO:0032127","GO:0032127","dense core granule membrane","CC"
"GO:0046866","GO:0046866","tetraterpenoid transport","BP"
"GO:0046867","GO:0046867","carotenoid transport","BP"
"GO:1990481","GO:1990481","mRNA pseudouridine synthesis","BP"
"GO:0061574","GO:0061574","ASAP complex","CC"
"GO:0045003","GO:0045003","double-strand break repair via synthesis-dependent strand annealing","BP"
"GO:0055080","GO:0055080","monoatomic cation homeostasis","BP"
"GO:0016713","GO:0016713","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen","MF"
"GO:0018685","GO:0018685","alkane 1-monooxygenase activity","MF"
"GO:0048252","GO:0048252","lauric acid metabolic process","BP"
"GO:0120250","GO:0120250","fatty acid omega-hydroxylase activity","MF"
"GO:0140981","GO:0140981","medium-chain fatty acid omega-hydroxylase activity","MF"
"GO:0045182","GO:0045182","translation regulator activity","MF"
"GO:0030859","GO:0030859","polarized epithelial cell differentiation","BP"
"GO:0030162","GO:0030162","regulation of proteolysis","BP"
"GO:0004379","GO:0004379","glycylpeptide N-tetradecanoyltransferase activity","MF"
"GO:0006499","GO:0006499","N-terminal protein myristoylation","BP"
"GO:0018008","GO:0018008","N-terminal peptidyl-glycine N-myristoylation","BP"
"GO:0018201","GO:0018201","peptidyl-glycine modification","BP"
"GO:0018377","GO:0018377","protein myristoylation","BP"
"GO:0019107","GO:0019107","myristoyltransferase activity","MF"
"GO:0006383","GO:0006383","transcription by RNA polymerase III","BP"
"GO:0015810","GO:0015810","aspartate transmembrane transport","BP"
"GO:0015925","GO:0015925","galactosidase activity","MF"
"GO:0016333","GO:0016333","morphogenesis of follicular epithelium","BP"
"GO:0072393","GO:0072393","microtubule anchoring at microtubule organizing center","BP"
"GO:0099512","GO:0099512","supramolecular fiber","CC"
"GO:0010043","GO:0010043","response to zinc ion","BP"
"GO:0023041","GO:0023041","neuronal signal transduction","BP"
"GO:0140164","GO:0140164","Golgi transport complex binding","MF"
"GO:0035019","GO:0035019","somatic stem cell population maintenance","BP"
"GO:0016469","GO:0016469","proton-transporting two-sector ATPase complex","CC"
"GO:0005412","GO:0005412","glucose:sodium symporter activity","MF"
"GO:0046323","GO:0046323","glucose import","BP"
"GO:1901021","GO:1901021","positive regulation of calcium ion transmembrane transporter activity","BP"
"GO:0032050","GO:0032050","clathrin heavy chain binding","MF"
"GO:0004616","GO:0004616","phosphogluconate dehydrogenase (decarboxylating) activity","MF"
"GO:0019520","GO:0019520","aldonic acid metabolic process","BP"
"GO:0019521","GO:0019521","D-gluconate metabolic process","BP"
"GO:0046176","GO:0046176","aldonic acid catabolic process","BP"
"GO:0046177","GO:0046177","D-gluconate catabolic process","BP"
"GO:0031526","GO:0031526","brush border membrane","CC"
"GO:0015501","GO:0015501","glutamate:sodium symporter activity","MF"
"GO:0050660","GO:0050660","flavin adenine dinucleotide binding","MF"
"GO:0002262","GO:0002262","myeloid cell homeostasis","BP"
"GO:0003870","GO:0003870","5-aminolevulinate synthase activity","MF"
"GO:0016749","GO:0016749","N-succinyltransferase activity","MF"
"GO:0020027","GO:0020027","hemoglobin metabolic process","BP"
"GO:0030099","GO:0030099","myeloid cell differentiation","BP"
"GO:0030218","GO:0030218","erythrocyte differentiation","BP"
"GO:0034101","GO:0034101","erythrocyte homeostasis","BP"
"GO:0042541","GO:0042541","hemoglobin biosynthetic process","BP"
"GO:0048821","GO:0048821","erythrocyte development","BP"
"GO:0061515","GO:0061515","myeloid cell development","BP"
"GO:0007284","GO:0007284","spermatogonial cell division","BP"
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","BP"
"GO:0036374","GO:0036374","glutathione hydrolase activity","MF"
"GO:0008521","GO:0008521","acetyl-CoA transmembrane transporter activity","MF"
"GO:0102265","GO:0102265","tRNA-dihydrouridine47 synthase activity","MF"
"GO:0034260","GO:0034260","negative regulation of GTPase activity","BP"
"GO:0004421","GO:0004421","hydroxymethylglutaryl-CoA synthase activity","MF"
"GO:0010142","GO:0010142","farnesyl diphosphate biosynthetic process, mevalonate pathway","BP"
"GO:1902767","GO:1902767","isoprenoid biosynthetic process via mevalonate","BP"
"GO:0006203","GO:0006203","dGTP catabolic process","BP"
"GO:0008832","GO:0008832","dGTPase activity","MF"
"GO:0009146","GO:0009146","purine nucleoside triphosphate catabolic process","BP"
"GO:0009151","GO:0009151","purine deoxyribonucleotide metabolic process","BP"
"GO:0009155","GO:0009155","purine deoxyribonucleotide catabolic process","BP"
"GO:0009200","GO:0009200","deoxyribonucleoside triphosphate metabolic process","BP"
"GO:0009204","GO:0009204","deoxyribonucleoside triphosphate catabolic process","BP"
"GO:0009215","GO:0009215","purine deoxyribonucleoside triphosphate metabolic process","BP"
"GO:0009217","GO:0009217","purine deoxyribonucleoside triphosphate catabolic process","BP"
"GO:0016793","GO:0016793","triphosphoric monoester hydrolase activity","MF"
"GO:0046070","GO:0046070","dGTP metabolic process","BP"
"GO:0046386","GO:0046386","deoxyribose phosphate catabolic process","BP"
"GO:0099572","GO:0099572","postsynaptic specialization","CC"
"GO:0006282","GO:0006282","regulation of DNA repair","BP"
"GO:0016627","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","MF"
"GO:0004712","GO:0004712","protein serine/threonine/tyrosine kinase activity","MF"
"GO:0048841","GO:0048841","regulation of axon extension involved in axon guidance","BP"
"GO:0051347","GO:0051347","positive regulation of transferase activity","BP"
"GO:0005723","GO:0005723","alpha-heterochromatin","CC"
"GO:0001694","GO:0001694","histamine biosynthetic process","BP"
"GO:0003832","GO:0003832","beta-alanyl-dopamine hydrolase activity","MF"
"GO:0031964","GO:0031964","beta-alanyl-histamine hydrolase activity","MF"
"GO:1990535","GO:1990535","neuron projection maintenance","BP"
"GO:0006413","GO:0006413","translational initiation","BP"
"GO:1903004","GO:1903004","regulation of protein K63-linked deubiquitination","BP"
"GO:1903006","GO:1903006","positive regulation of protein K63-linked deubiquitination","BP"
"GO:0016231","GO:0016231","beta-N-acetylglucosaminidase activity","MF"
"GO:0140861","GO:0140861","DNA repair-dependent chromatin remodeling","BP"
"GO:0003977","GO:0003977","UDP-N-acetylglucosamine diphosphorylase activity","MF"
"GO:0035185","GO:0035185","preblastoderm mitotic cell cycle","BP"
"GO:0050821","GO:0050821","protein stabilization","BP"
"GO:0097551","GO:0097551","mitochondrial double-strand break repair","BP"
"GO:0097552","GO:0097552","mitochondrial double-strand break repair via homologous recombination","BP"
"GO:1990440","GO:1990440","positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress","BP"
"GO:0062099","GO:0062099","negative regulation of programmed necrotic cell death","BP"
"GO:0045129","GO:0045129","NAD-independent histone deacetylase activity","MF"
"GO:0016616","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF"
"GO:0070773","GO:0070773","protein-N-terminal glutamine amidohydrolase activity","MF"
"GO:0044611","GO:0044611","nuclear pore inner ring","CC"
"GO:0071577","GO:0071577","zinc ion transmembrane transport","BP"
"GO:0140995","GO:0140995","histone H2A kinase activity","MF"
"GO:1990244","GO:1990244","histone H2AT120 kinase activity","MF"
"GO:0002943","GO:0002943","tRNA dihydrouridine synthesis","BP"
"GO:0102264","GO:0102264","tRNA-dihydrouridine20 synthase activity","MF"
"GO:0004588","GO:0004588","orotate phosphoribosyltransferase activity","MF"
"GO:0004590","GO:0004590","orotidine-5'-phosphate decarboxylase activity","MF"
"GO:0006222","GO:0006222","UMP biosynthetic process","BP"
"GO:0009173","GO:0009173","pyrimidine ribonucleoside monophosphate metabolic process","BP"
"GO:0009174","GO:0009174","pyrimidine ribonucleoside monophosphate biosynthetic process","BP"
"GO:0044205","GO:0044205","'de novo' UMP biosynthetic process","BP"
"GO:0046049","GO:0046049","UMP metabolic process","BP"
"GO:1901800","GO:1901800","positive regulation of proteasomal protein catabolic process","BP"
"GO:0098772","GO:0098772","molecular function regulator activity","MF"
"GO:0048009","GO:0048009","insulin-like growth factor receptor signaling pathway","BP"
"GO:0052650","GO:0052650","NADP-retinol dehydrogenase activity","MF"
"GO:0030976","GO:0030976","thiamine pyrophosphate binding","MF"
"GO:0047938","GO:0047938","glucose-6-phosphate 1-epimerase activity","MF"
"GO:0009134","GO:0009134","nucleoside diphosphate catabolic process","BP"
"GO:1990003","GO:1990003","IDP phosphatase activity","MF"
"GO:0003983","GO:0003983","UTP:glucose-1-phosphate uridylyltransferase activity","MF"
"GO:0006011","GO:0006011","UDP-glucose metabolic process","BP"
"GO:0051748","GO:0051748","UTP-monosaccharide-1-phosphate uridylyltransferase activity","MF"
"GO:0006777","GO:0006777","Mo-molybdopterin cofactor biosynthetic process","BP"
"GO:0019720","GO:0019720","Mo-molybdopterin cofactor metabolic process","BP"
"GO:0032324","GO:0032324","molybdopterin cofactor biosynthetic process","BP"
"GO:0043545","GO:0043545","molybdopterin cofactor metabolic process","BP"
"GO:0051189","GO:0051189","prosthetic group metabolic process","BP"
"GO:0015180","GO:0015180","L-alanine transmembrane transporter activity","MF"
"GO:0015190","GO:0015190","L-leucine transmembrane transporter activity","MF"
"GO:0015808","GO:0015808","L-alanine transport","BP"
"GO:0015823","GO:0015823","phenylalanine transport","BP"
"GO:0022858","GO:0022858","alanine transmembrane transporter activity","MF"
"GO:0032328","GO:0032328","alanine transport","BP"
"GO:1904273","GO:1904273","L-alanine import across plasma membrane","BP"
"GO:1904557","GO:1904557","L-alanine transmembrane transport","BP"
"GO:0098960","GO:0098960","postsynaptic neurotransmitter receptor activity","MF"
"GO:0046578","GO:0046578","regulation of Ras protein signal transduction","BP"
"GO:0015803","GO:0015803","branched-chain amino acid transport","BP"
"GO:0097124","GO:0097124","cyclin A2-CDK2 complex","CC"
"GO:2001236","GO:2001236","regulation of extrinsic apoptotic signaling pathway","BP"
"GO:0090305","GO:0090305","nucleic acid phosphodiester bond hydrolysis","BP"
"GO:0051308","GO:0051308","male meiosis chromosome separation","BP"
"GO:0048257","GO:0048257","3'-flap endonuclease activity","MF"
"GO:0008066","GO:0008066","glutamate receptor activity","MF"
"GO:0014051","GO:0014051","gamma-aminobutyric acid secretion","BP"
"GO:0046717","GO:0046717","acid secretion","BP"
"GO:0061534","GO:0061534","gamma-aminobutyric acid secretion, neurotransmission","BP"
"GO:0045814","GO:0045814","negative regulation of gene expression, epigenetic","BP"
"GO:0000015","GO:0000015","phosphopyruvate hydratase complex","CC"
"GO:0004634","GO:0004634","phosphopyruvate hydratase activity","MF"
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","MF"
"GO:0017005","GO:0017005","3'-tyrosyl-DNA phosphodiesterase activity","MF"
"GO:0070259","GO:0070259","tyrosyl-DNA phosphodiesterase activity","MF"
"GO:0051083","GO:0051083","'de novo' cotranslational protein folding","BP"
"GO:0098729","GO:0098729","germline stem cell symmetric division","BP"
"GO:0098730","GO:0098730","male germline stem cell symmetric division","BP"
"GO:0006857","GO:0006857","oligopeptide transport","BP"
"GO:0035672","GO:0035672","oligopeptide transmembrane transport","BP"
"GO:0035673","GO:0035673","oligopeptide transmembrane transporter activity","MF"
"GO:1904680","GO:1904680","peptide transmembrane transporter activity","MF"
"GO:0006686","GO:0006686","sphingomyelin biosynthetic process","BP"
"GO:0033188","GO:0033188","sphingomyelin synthase activity","MF"
"GO:0047493","GO:0047493","ceramide cholinephosphotransferase activity","MF"
"GO:0050218","GO:0050218","propionate-CoA ligase activity","MF"
"GO:0080019","GO:0080019","alcohol-forming very long-chain fatty acyl-CoA reductase activity","MF"
"GO:0005178","GO:0005178","integrin binding","MF"
"GO:0030981","GO:0030981","cortical microtubule cytoskeleton","CC"
"GO:0015280","GO:0015280","ligand-gated sodium channel activity","MF"
"GO:0005234","GO:0005234","extracellularly glutamate-gated ion channel activity","MF"
"GO:0008068","GO:0008068","extracellularly glutamate-gated chloride channel activity","MF"
"GO:0015019","GO:0015019","heparan-alpha-glucosaminide N-acetyltransferase activity","MF"
"GO:0007502","GO:0007502","digestive tract mesoderm development","BP"
"GO:0016235","GO:0016235","aggresome","CC"
"GO:0035973","GO:0035973","aggrephagy","BP"
"GO:0004483","GO:0004483","mRNA (nucleoside-2'-O-)-methyltransferase activity","MF"
"GO:0036451","GO:0036451","cap mRNA methylation","BP"
"GO:0097309","GO:0097309","cap1 mRNA methylation","BP"
"GO:0097310","GO:0097310","cap2 mRNA methylation","BP"
"GO:0003979","GO:0003979","UDP-glucose 6-dehydrogenase activity","MF"
"GO:1902710","GO:1902710","GABA receptor complex","CC"
"GO:1902711","GO:1902711","GABA-A receptor complex","CC"
"GO:0005726","GO:0005726","perichromatin fibrils","CC"
"GO:0061738","GO:0061738","late endosomal microautophagy","BP"
"GO:0046380","GO:0046380","N-acetylneuraminate biosynthetic process","BP"
"GO:0050124","GO:0050124","N-acylneuraminate-9-phosphatase activity","MF"
"GO:0042327","GO:0042327","positive regulation of phosphorylation","BP"
"GO:0001408","GO:0001408","guanine nucleotide transport","BP"
"GO:0008558","GO:0008558","ABC-type guanine transporter activity","MF"
"GO:0015196","GO:0015196","L-tryptophan transmembrane transporter activity","MF"
"GO:0015801","GO:0015801","aromatic amino acid transport","BP"
"GO:0015827","GO:0015827","tryptophan transport","BP"
"GO:0042906","GO:0042906","xanthine transport","BP"
"GO:0042907","GO:0042907","xanthine transmembrane transporter activity","MF"
"GO:0070729","GO:0070729","cyclic nucleotide transport","BP"
"GO:0070731","GO:0070731","cGMP transport","BP"
"GO:1905948","GO:1905948","ABC-type 3',5'-cyclic GMP transmembrane transporter activity","MF"
"GO:0110077","GO:0110077","vesicle-mediated intercellular transport","BP"
"GO:0033130","GO:0033130","acetylcholine receptor binding","MF"
"GO:0043043","GO:0043043","peptide biosynthetic process","BP"
"GO:0010709","GO:0010709","heteroduplex formation involved in double-strand break repair via synthesis-dependent strand annealing","BP"
"GO:0030491","GO:0030491","heteroduplex formation","BP"
"GO:0036310","GO:0036310","ATP-dependent DNA/DNA annealing activity","MF"
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process","BP"
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","BP"
"GO:0000103","GO:0000103","sulfate assimilation","BP"
"GO:0004020","GO:0004020","adenylylsulfate kinase activity","MF"
"GO:0004779","GO:0004779","sulfate adenylyltransferase activity","MF"
"GO:0004781","GO:0004781","sulfate adenylyltransferase (ATP) activity","MF"
"GO:0034036","GO:0034036","purine ribonucleoside bisphosphate biosynthetic process","BP"
"GO:0050427","GO:0050427","3'-phosphoadenosine 5'-phosphosulfate metabolic process","BP"
"GO:0050428","GO:0050428","3'-phosphoadenosine 5'-phosphosulfate biosynthetic process","BP"
"GO:0015054","GO:0015054","gastrin receptor activity","MF"
"GO:0000495","GO:0000495","box H/ACA RNA 3'-end processing","BP"
"GO:0033979","GO:0033979","box H/ACA RNA metabolic process","BP"
