"","FBgn","Symbol","ensembl","CG","Start","End","Strand","CHR","Name"
"FBgn0034264","FBgn0034264","Dlish","37014","CG10933",17723308,17725056,1,"2R","37014"
"FBgn0034265","FBgn0034265","Snx16","37015","CG6410",17725029,17726847,-1,"2R","37015"
"FBgn0034267","FBgn0034267","CG4984","37017","CG4984",17726913,17732987,1,"2R","37017"
"FBgn0034269","FBgn0034269","Hyccin","37019","CG6406",17734418,17737269,-1,"2R","37019"
"FBgn0034270","FBgn0034270","PIG-A","37020","CG6401",17737621,17739685,-1,"2R","37020"
"FBgn0034271","FBgn0034271","Vps50","37021","CG4996",17739900,17743969,1,"2R","37021"
"FBgn0034274","FBgn0034274","CG10931","37024","CG10931",17748934,17750136,1,"2R","37024"
"FBgn0034275","FBgn0034275","CG5002","37025","CG5002",17750292,17753214,1,"2R","37025"
"FBgn0034276","FBgn0034276","Sardh","37026","CG6385",17753554,17756422,-1,"2R","37026"
"FBgn0034277","FBgn0034277","OstDelta","37029","CG6370",17764573,17767070,-1,"2R","37029"
"FBgn0034278","FBgn0034278","CG14488","37030","CG14488",17767164,17767786,-1,"2R","37030"
"FBgn0034279","FBgn0034279","CG18635","37031","CG18635",17767807,17769989,-1,"2R","37031"
"FBgn0034282","FBgn0034282","Mapmodulin","37043","CG5784",17866179,17872015,-1,"2R","37043"
"FBgn0034286","FBgn0034286","dpr13","3885598","CG33996",17975121,18007902,-1,"2R","3885598"
"FBgn0034288","FBgn0034288","CG5084","37051","CG5084",18018664,18020211,1,"2R","37051"
"FBgn0034289","FBgn0034289","CG10910","37052","CG10910",18020267,18022406,1,"2R","37052"
"FBgn0034290","FBgn0034290","CG5773","37053","CG5773",18042295,18043744,-1,"2R","37053"
"FBgn0034291","FBgn0034291","CG5770","37054","CG5770",18044045,18045073,-1,"2R","37054"
"FBgn0034292","FBgn0034292","CG5767","37055","CG5767",18046385,18047484,-1,"2R","37055"
"FBgn0034293","FBgn0034293","CG14495","37056","CG14495",18048803,18049922,-1,"2R","37056"
"FBgn0034294","FBgn0034294","Muc55B","37057","CG5765",18050018,18052107,-1,"2R","37057"
"FBgn0034295","FBgn0034295","CG10911","37058","CG10911",18052549,18054066,-1,"2R","37058"
"FBgn0034296","FBgn0034296","CG10912","37059","CG10912",18056063,18057065,-1,"2R","37059"
"FBgn0034299","FBgn0034299","CG5757","37062","CG5757",18093722,18094900,-1,"2R","37062"
"FBgn0034300","FBgn0034300","CG5098","37063","CG5098",18094939,18101031,1,"2R","37063"
"FBgn0034301","FBgn0034301","CG5756","37064","CG5756",18101060,18108389,-1,"2R","37064"
"FBgn0034304","FBgn0034304","CG5742","37072","CG5742",18148095,18151410,-1,"2R","37072"
"FBgn0034307","FBgn0034307","CG10914","37075","CG10914",18158256,18160310,1,"2R","37075"
"FBgn0034308","FBgn0034308","Naus","37076","CG10915",18160719,18164746,1,"2R","37076"
"FBgn0034310","FBgn0034310","Nup75","37078","CG5733",18164693,18167140,-1,"2R","37078"
"FBgn0034312","FBgn0034312","CG10916","37081","CG10916",18173668,18175725,1,"2R","37081"
"FBgn0034313","FBgn0034313","CG5726","37082","CG5726",18175254,18180197,-1,"2R","37082"
"FBgn0034314","FBgn0034314","nopo","37083","CG5140",18180495,18182519,1,"2R","37083"
"FBgn0034315","FBgn0034315","CG5721","37084","CG5721",18182434,18184090,-1,"2R","37084"
"FBgn0034317","FBgn0034317","CG14499","37086","CG14499",18187706,18188573,1,"2R","37086"
"FBgn0034318","FBgn0034318","CG14500","37087","CG14500",18188977,18189654,1,"2R","37087"
"FBgn0034321","FBgn0034321","CG14502","37092","CG14502",18288695,18294712,1,"2R","37092"
"FBgn0034322","FBgn0034322","CG18536","37093","CG18536",18294758,18295658,1,"2R","37093"
"FBgn0034325","FBgn0034325","CG18539","37096","CG18539",18297794,18298903,1,"2R","37096"
"FBgn0034327","FBgn0034327","CG14505","37098","CG14505",18302944,18303977,-1,"2R","37098"
"FBgn0034328","FBgn0034328","BomBc1","37099","CG15066",18382703,18383235,-1,"2R","37099"
"FBgn0034329","FBgn0034329","BomS1","37100","CG18108",18383948,18384378,1,"2R","37100"
"FBgn0034331","FBgn0034331","BomBc2","37102","CG15067",18384823,18385589,-1,"2R","37102"
"FBgn0034335","FBgn0034335","GstE1","37106","CG5164",18398392,18399223,1,"2R","37106"
"FBgn0034345","FBgn0034345","CG5174","37117","CG5174",18421412,18426221,1,"2R","37117"
"FBgn0034346","FBgn0034346","PIG-O","37118","CG12263",18426420,18430333,1,"2R","37118"
"FBgn0034351","FBgn0034351","rswl","37124","CG5190",18451283,18452736,1,"2R","37124"
"FBgn0034352","FBgn0034352","CG17669","37125","CG17669",18452736,18454462,-1,"2R","37125"
"FBgn0034354","FBgn0034354","GstE11","37128","CG5224",18503607,18505025,1,"2R","37128"
"FBgn0034356","FBgn0034356","Pepck2","37130","CG10924",18527429,18535749,1,"2R","37130"
"FBgn0034360","FBgn0034360","CG10927","37135","CG10927",18613089,18614255,1,"2R","37135"
"FBgn0034361","FBgn0034361","mRpS28","37136","CG5497",18614209,18615018,-1,"2R","37136"
"FBgn0034362","FBgn0034362","CG5323","37137","CG5323",18615059,18615999,1,"2R","37137"
"FBgn0034363","FBgn0034363","CG5327","37138","CG5327",18615987,18618317,1,"2R","37138"
"FBgn0034365","FBgn0034365","CG5335","37140","CG5335",18621540,18622986,1,"2R","37140"
"FBgn0034366","FBgn0034366","Atg7","37141","CG5489",18620465,18625044,-1,"2R","37141"
"FBgn0034368","FBgn0034368","zda","37144","CG5482",18629593,18632045,-1,"2R","37144"
"FBgn0034371","FBgn0034371","Ntan1","37147","CG5473",18640861,18658222,-1,"2R","37147"
"FBgn0034377","FBgn0034377","CG15071","37153","CG15071",18696584,18697345,1,"2R","37153"
"FBgn0034379","FBgn0034379","CG15073","37155","CG15073",18705976,18708226,1,"2R","37155"
"FBgn0034380","FBgn0034380","Vps51","37156","CG15087",18708151,18710865,-1,"2R","37156"
"FBgn0034381","FBgn0034381","List","37157","CG15088",18727816,18730281,-1,"2R","37157"
"FBgn0034382","FBgn0034382","CG18609","37158","CG18609",18742516,18743626,-1,"2R","37158"
"FBgn0034383","FBgn0034383","CG17821","37159","CG17821",18743805,18744996,-1,"2R","37159"
"FBgn0034387","FBgn0034387","Cyp12b2","37163","CG15077",18754994,18757083,1,"2R","37163"
"FBgn0034389","FBgn0034389","Mctp","37165","CG15078",18761757,18774824,1,"2R","37165"
"FBgn0034390","FBgn0034390","CG15093","37166","CG15093",18775668,18776978,-1,"2R","37166"
"FBgn0034391","FBgn0034391","CG15080","37167","CG15080",18783298,18794594,1,"2R","37167"
"FBgn0034392","FBgn0034392","MFS15","37168","CG15094",18794617,18796678,-1,"2R","37168"
"FBgn0034394","FBgn0034394","CG15096","37170","CG15096",18808355,18815019,-1,"2R","37170"
"FBgn0034396","FBgn0034396","CG15097","37172","CG15097",18822187,18829699,-1,"2R","37172"
"FBgn0034397","FBgn0034397","CG15082","37173","CG15082",18830330,18833241,1,"2R","37173"
"FBgn0034398","FBgn0034398","CG15098","37174","CG15098",18833371,18834775,-1,"2R","37174"
"FBgn0034399","FBgn0034399","CG15083","37175","CG15083",18835262,18836842,1,"2R","37175"
"FBgn0034400","FBgn0034400","CG15099","37176","CG15099",18836820,18846619,-1,"2R","37176"
"FBgn0034401","FBgn0034401","MetRS","37177","CG15100",18846857,18850599,-1,"2R","37177"
"FBgn0034402","FBgn0034402","CG15084","37178","CG15084",18850843,18851963,1,"2R","37178"
"FBgn0034403","FBgn0034403","CG18190","37179","CG18190",18851906,18853043,-1,"2R","37179"
"FBgn0034406","FBgn0034406","Jheh3","37182","CG15106",18860374,18862078,-1,"2R","37182"
"FBgn0034407","FBgn0034407","DptB","37184","CG10794",18867390,18867895,1,"2R","37184"
"FBgn0034408","FBgn0034408","sano","37185","CG12758",18878390,18959500,1,"2R","37185"
"FBgn0034411","FBgn0034411","CG18605","37189","CG18605",18977513,18979279,1,"2R","37189"
"FBgn0034416","FBgn0034416","CG15109","37195","CG15109",19059420,19061065,1,"2R","37195"
"FBgn0034417","FBgn0034417","CG15117","37197","CG15117",19122230,19129300,-1,"2R","37197"
"FBgn0034418","FBgn0034418","CG15118","37199","CG15118",19133726,19137169,-1,"2R","37199"
"FBgn0034419","FBgn0034419","CG15111","37200","CG15111",19137371,19141034,1,"2R","37200"
"FBgn0034420","FBgn0034420","CG10737","37202","CG10737",19164142,19178223,1,"2R","37202"
"FBgn0034422","FBgn0034422","CG7137","37204","CG7137",19227343,19228613,1,"2R","37204"
"FBgn0034423","FBgn0034423","tbrd-2","37207","CG7229",19259908,19262294,1,"2R","37207"
"FBgn0034425","FBgn0034425","CG11906","37209","CG11906",19281417,19283961,-1,"2R","37209"
"FBgn0034426","FBgn0034426","AANATL5","37210","CG10476",19284550,19285219,-1,"2R","37210"
"FBgn0034428","FBgn0034428","AANATL6","37212","CG18606",19287982,19288995,1,"2R","37212"
"FBgn0034429","FBgn0034429","AANATL4","37213","CG18607",19289108,19289852,1,"2R","37213"
"FBgn0034430","FBgn0034430","mip40","37215","CG15119",19291104,19292196,-1,"2R","37215"
"FBgn0034432","FBgn0034432","CG7461","37217","CG7461",19305171,19307445,1,"2R","37217"
"FBgn0034433","FBgn0034433","EndoB","37218","CG9834",19307446,19310665,-1,"2R","37218"
"FBgn0034435","FBgn0034435","fest","37220","CG9975",19341808,19345754,1,"2R","37220"
"FBgn0034436","FBgn0034436","CG11961","37221","CG11961",19357531,19363124,1,"2R","37221"
"FBgn0034437","FBgn0034437","CG10051","37222","CG10051",19363640,19367294,1,"2R","37222"
"FBgn0034438","FBgn0034438","CG9416","37223","CG9416",19367247,19373702,-1,"2R","37223"
"FBgn0034439","FBgn0034439","CG10062","37224","CG10062",19375312,19380174,1,"2R","37224"
"FBgn0034440","FBgn0034440","CG10073","37225","CG10073",19380542,19384965,1,"2R","37225"
"FBgn0034441","FBgn0034441","CG10081","37226","CG10081",19385922,19389318,1,"2R","37226"
"FBgn0034442","FBgn0034442","CG11257","37227","CG11257",19390127,19391900,1,"2R","37227"
"FBgn0034443","FBgn0034443","cer","37229","CG10460",19396214,19396772,-1,"2R","37229"
"FBgn0034446","FBgn0034446","Arl6","37236","CG7735",19444178,19445058,1,"2R","37236"
"FBgn0034447","FBgn0034447","CG7744","37239","CG7744",19452503,19455527,1,"2R","37239"
"FBgn0034451","FBgn0034451","TBCB","37244","CG11242",19485493,19486837,-1,"2R","37244"
"FBgn0034452","FBgn0034452","Oseg6","37245","CG11237",19487045,19491846,-1,"2R","37245"
"FBgn0034454","FBgn0034454","CG15120","37248","CG15120",19497751,19500372,1,"2R","37248"
"FBgn0034455","FBgn0034455","CG11007","37249","CG11007",19503067,19504594,1,"2R","37249"
"FBgn0034456","FBgn0034456","Ir56b","37250","CG15121",19508166,19509653,1,"2R","37250"
"FBgn0034459","FBgn0034459","TTLL6A","37253","CG16716",19593789,19596866,1,"2R","37253"
"FBgn0034460","FBgn0034460","CG18367","37255","CG18367",19636659,19637400,1,"2R","37255"
"FBgn0034461","FBgn0034461","CG15124","37256","CG15124",19642946,19643698,1,"2R","37256"
"FBgn0034462","FBgn0034462","CG15905","37257","CG15905",19646482,19647645,-1,"2R","37257"
"FBgn0034463","FBgn0034463","CG15125","37258","CG15125",19657572,19659599,1,"2R","37258"
"FBgn0034464","FBgn0034464","CG11018","37259","CG11018",19662435,19663738,1,"2R","37259"
"FBgn0034467","FBgn0034467","CG15128","37263","CG15128",19685613,19688078,-1,"2R","37263"
"FBgn0034468","FBgn0034468","Obp56a","37264","CG11797",19697722,19698508,1,"2R","37264"
"FBgn0034470","FBgn0034470","Obp56d","37266","CG11218",19702923,19703915,-1,"2R","37266"
"FBgn0034472","FBgn0034472","CG8517","37268","CG8517",19714075,19714868,1,"2R","37268"
"FBgn0034473","FBgn0034473","Or56a","37269","CG12501",19769460,19771233,-1,"2R","37269"
"FBgn0034475","FBgn0034475","Obp56h","37271","CG13874",19815553,19816204,1,"2R","37271"
"FBgn0034476","FBgn0034476","Toll-7","37272","CG8595",19826577,19832973,1,"2R","37272"
"FBgn0034477","FBgn0034477","CG13872","37273","CG13872",19878835,19880920,-1,"2R","37273"
"FBgn0034478","FBgn0034478","CG10822","37274","CG10822",19951344,19951950,1,"2R","37274"
"FBgn0034479","FBgn0034479","CG8654","37275","CG8654",19979241,19984895,1,"2R","37275"
"FBgn0034480","FBgn0034480","CG16898","37276","CG16898",20003619,20005003,-1,"2R","37276"
"FBgn0034483","FBgn0034483","CG16894","37280","CG16894",20211584,20212619,-1,"2R","37280"
"FBgn0034484","FBgn0034484","CG11044","37281","CG11044",20231828,20234927,1,"2R","37281"
"FBgn0034487","FBgn0034487","Efhc1.2","37284","CG11048",20239935,20242873,1,"2R","37284"
"FBgn0034488","FBgn0034488","Hacl","37285","CG11208",20242751,20245388,-1,"2R","37285"
"FBgn0034489","FBgn0034489","ppk6","37286","CG11209",20245759,20247624,-1,"2R","37286"
"FBgn0034490","FBgn0034490","CG9864","37287","CG9864",20248129,20254670,-1,"2R","37287"
"FBgn0034491","FBgn0034491","Hsl","37289","CG11055",20257649,20261726,1,"2R","37289"
"FBgn0034493","FBgn0034493","CG8908","37293","CG8908",20264919,20270994,1,"2R","37293"
"FBgn0034494","FBgn0034494","CG10444","37294","CG10444",20271652,20274499,-1,"2R","37294"
"FBgn0034495","FBgn0034495","CG11788","37295","CG11788",20274596,20276142,1,"2R","37295"
"FBgn0034496","FBgn0034496","CG9143","37296","CG9143",20275972,20278915,-1,"2R","37296"
"FBgn0034497","FBgn0034497","Mpcp1","37297","CG9090",20279065,20281127,-1,"2R","37297"
"FBgn0034498","FBgn0034498","CG16868","37298","CG16868",20281628,20287094,-1,"2R","37298"
"FBgn0034499","FBgn0034499","Cpr56F","37299","CG9036",20288370,20291945,-1,"2R","37299"
"FBgn0034500","FBgn0034500","CG11200","37301","CG11200",20304516,20308671,-1,"2R","37301"
"FBgn0034501","FBgn0034501","CG13868","37302","CG13868",20308779,20316917,-1,"2R","37302"
"FBgn0034502","FBgn0034502","CG13871","37303","CG13871",20317322,20319039,1,"2R","37303"
"FBgn0034503","FBgn0034503","MED8","37305","CG13867",20325843,20326806,-1,"2R","37305"
"FBgn0034504","FBgn0034504","CG8929","37306","CG8929",20327269,20330721,1,"2R","37306"
"FBgn0034505","FBgn0034505","CG16739","37307","CG16739",20341992,20342749,1,"2R","37307"
"FBgn0034506","FBgn0034506","CG13870","37308","CG13870",20343844,20346018,1,"2R","37308"
"FBgn0034507","FBgn0034507","CG11192","37309","CG11192",20354107,20355067,-1,"2R","37309"
"FBgn0034510","FBgn0034510","CG13426","37312","CG13426",20512696,20513169,-1,"2R","37312"
"FBgn0034511","FBgn0034511","GNBP-like3","37313","CG13422",20526310,20526825,1,"2R","37313"
"FBgn0034512","FBgn0034512","CG18067","37314","CG18067",20534244,20535835,1,"2R","37314"
"FBgn0034513","FBgn0034513","CG13423","37315","CG13423",20536577,20538264,1,"2R","37315"
"FBgn0034520","FBgn0034520","lms","37322","CG13424",20556876,20559953,1,"2R","37322"
"FBgn0034521","FBgn0034521","Mgat1","37323","CG13431",20559155,20562331,-1,"2R","37323"
"FBgn0034523","FBgn0034523","Nnf1a","37325","CG13434",20586221,20587238,-1,"2R","37325"
"FBgn0034527","FBgn0034527","CG9945","37329","CG9945",20618502,20621080,1,"2R","37329"
"FBgn0034528","FBgn0034528","CG11180","37330","CG11180",20620913,20623429,-1,"2R","37330"
"FBgn0034529","FBgn0034529","FAM21","37331","CG16742",20623546,20628315,1,"2R","37331"
"FBgn0034530","FBgn0034530","Rcd6","37332","CG11175",20628185,20633506,-1,"2R","37332"
"FBgn0034532","FBgn0034532","CG13436","37334","CG13436",20636391,20638423,1,"2R","37334"
"FBgn0034534","FBgn0034534","maf-S","37336","CG9954",20640975,20641668,1,"2R","37336"
"FBgn0034535","FBgn0034535","CG11110","37337","CG11110",20641741,20642558,1,"2R","37337"
"FBgn0034537","FBgn0034537","DMAP1","37339","CG11132",20644035,20645865,1,"2R","37339"
"FBgn0034538","FBgn0034538","CG16799","37340","CG16799",20652556,20655096,-1,"2R","37340"
"FBgn0034540","FBgn0034540","Lrt","37342","CG11136",20646359,20661070,1,"2R","37342"
"FBgn0034541","FBgn0034541","CG13437","37343","CG13437",20661584,20662595,1,"2R","37343"
"FBgn0034542","FBgn0034542","Fem-1","37344","CG9025",20662473,20667306,-1,"2R","37344"
"FBgn0034543","FBgn0034543","galla-1","246485","CG30152",20670635,20673495,1,"2R","246485"
"FBgn0034546","FBgn0034546","CG13442","37349","CG13442",20727828,20730610,-1,"2R","37349"
"FBgn0034552","FBgn0034552","CG17999","37357","CG17999",20847979,20849939,-1,"2R","37357"
"FBgn0034553","FBgn0034553","CG9993","37358","CG9993",20850145,20852125,-1,"2R","37358"
"FBgn0034554","FBgn0034554","CAH14","37359","CG15227",20863780,20867076,1,"2R","37359"
"FBgn0034558","FBgn0034558","Cib2","37363","CG9236",20879929,20882663,1,"2R","37363"
"FBgn0034560","FBgn0034560","CAH15","37366","CG9235",20909703,20910801,1,"2R","37366"
"FBgn0034564","FBgn0034564","CG9344","37372","CG9344",20977055,20977600,1,"2R","37372"
"FBgn0034566","FBgn0034566","CG9313","37374","CG9313",20978900,20984043,1,"2R","37374"
"FBgn0034567","FBgn0034567","CG15651","37375","CG15651",20983837,20986500,-1,"2R","37375"
"FBgn0034568","FBgn0034568","CG3216","37376","CG3216",20986832,20991171,-1,"2R","37376"
"FBgn0034569","FBgn0034569","dgt3","37377","CG3221",20992275,20994381,-1,"2R","37377"
"FBgn0034570","FBgn0034570","CG10543","37379","CG10543",20996219,21007740,1,"2R","37379"
"FBgn0034572","FBgn0034572","CG9346","37381","CG9346",21011969,21015628,1,"2R","37381"
"FBgn0034573","FBgn0034573","CG3295","37382","CG3295",21015593,21017446,-1,"2R","37382"
"FBgn0034576","FBgn0034576","ND-B14.7","37385","CG9350",21025077,21026086,1,"2R","37385"
"FBgn0034577","FBgn0034577","cpa","37387","CG10540",21057786,21059883,1,"2R","37387"
"FBgn0034578","FBgn0034578","CG15653","37388","CG15653",21059779,21060547,-1,"2R","37388"
"FBgn0034579","FBgn0034579","mRpL54","37389","CG9353",21060788,21061587,1,"2R","37389"
"FBgn0034582","FBgn0034582","Cht9","37392","CG10531",21067991,21069286,-1,"2R","37392"
"FBgn0034583","FBgn0034583","CG10527","37393","CG10527",21070367,21072789,-1,"2R","37393"
"FBgn0034585","FBgn0034585","Rbpn-5","37395","CG4030",21088385,21091004,-1,"2R","37395"
"FBgn0034588","FBgn0034588","CG9394","37399","CG9394",21118393,21120705,1,"2R","37399"
"FBgn0034590","FBgn0034590","Magi","37403","CG30388",21129462,21142261,-1,"2R","37403"
"FBgn0034592","FBgn0034592","CG9406","37405","CG9406",21142367,21143261,1,"2R","37405"
"FBgn0034595","FBgn0034595","CG15657","37408","CG15657",21147477,21148153,-1,"2R","37408"
"FBgn0034598","FBgn0034598","CG4266","37411","CG4266",21161712,21168659,-1,"2R","37411"
"FBgn0034599","FBgn0034599","hng1","37412","CG9437",21168929,21170010,1,"2R","37412"
"FBgn0034601","FBgn0034601","CG4286","37416","CG4286",21177753,21178636,-1,"2R","37416"
"FBgn0034602","FBgn0034602","Lapsyn","37418","CG15658",21193570,21199431,1,"2R","37418"
"FBgn0034605","FBgn0034605","Ugt49C1","37421","CG15661",21215434,21217779,-1,"2R","37421"
"FBgn0034606","FBgn0034606","ASPP","37422","CG18375",21217855,21251150,-1,"2R","37422"
"FBgn0034611","FBgn0034611","MFS16","37427","CG10069",21282297,21285679,1,"2R","37427"
"FBgn0034612","FBgn0034612","CG10505","37428","CG10505",21285247,21290343,-1,"2R","37428"
"FBgn0034614","FBgn0034614","CG9752","37431","CG9752",21294401,21295588,-1,"2R","37431"
"FBgn0034617","FBgn0034617","Panx","37434","CG9754",21310367,21312354,-1,"2R","37434"
"FBgn0034618","FBgn0034618","CG9485","37435","CG9485",21312398,21319569,1,"2R","37435"
"FBgn0034622","FBgn0034622","BBS9","37439","CG15666",21341971,21345608,1,"2R","37439"
"FBgn0034623","FBgn0034623","CG9822","37440","CG9822",21346874,21347883,-1,"2R","37440"
"FBgn0034624","FBgn0034624","CG17974","37441","CG17974",21348944,21350578,-1,"2R","37441"
"FBgn0034626","FBgn0034626","CG10795","37443","CG10795",21383226,21384391,-1,"2R","37443"
"FBgn0034627","FBgn0034627","eEFSec","37444","CG9841",21384551,21386221,-1,"2R","37444"
"FBgn0034628","FBgn0034628","Acox57D-p","37445","CG9707",21386308,21389276,1,"2R","37445"
"FBgn0034629","FBgn0034629","Acox57D-d","37446","CG9709",21389404,21392439,1,"2R","37446"
"FBgn0034631","FBgn0034631","TAF1C-like","37450","CG10496",21498902,21501732,-1,"2R","37450"
"FBgn0034634","FBgn0034634","CG10494","37453","CG10494",21516773,21519125,-1,"2R","37453"
"FBgn0034636","FBgn0034636","twz","37456","CG10440",21560245,21576035,-1,"2R","37456"
"FBgn0034638","FBgn0034638","CG10433","37458","CG10433",21605675,21608125,-1,"2R","37458"
"FBgn0034639","FBgn0034639","CG15673","37459","CG15673",21608392,21613071,-1,"2R","37459"
"FBgn0034641","FBgn0034641","mahj","37462","CG10080",21625029,21631422,1,"2R","37462"
"FBgn0034643","FBgn0034643","CG10321","37464","CG10321",21634678,21638399,1,"2R","37464"
"FBgn0034644","FBgn0034644","CG10082","37465","CG10082",21646176,21657935,1,"2R","37465"
"FBgn0034645","FBgn0034645","ND-B12","37466","CG10320",21658077,21658777,1,"2R","37466"
"FBgn0034646","FBgn0034646","Rae1","37467","CG9862",21658769,21660007,-1,"2R","37467"
"FBgn0034647","FBgn0034647","pirk","37468","CG15678",21660966,21662995,-1,"2R","37468"
"FBgn0034650","FBgn0034650","NC2alpha","37471","CG10318",21670151,21671593,1,"2R","37471"
"FBgn0034651","FBgn0034651","CG15676","37472","CG15676",21671699,21672845,1,"2R","37472"
"FBgn0034654","FBgn0034654","eIF3k","37475","CG10306",21685282,21686201,1,"2R","37475"
"FBgn0034655","FBgn0034655","CG10307","37477","CG10307",21688772,21690253,1,"2R","37477"
"FBgn0034657","FBgn0034657","LBR","37482","CG17952",21720494,21724055,1,"2R","37482"
"FBgn0034658","FBgn0034658","Grx1t","37483","CG7975",21757344,21757913,1,"2R","37483"
"FBgn0034659","FBgn0034659","CG4021","37484","CG4021",21773294,21774876,1,"2R","37484"
"FBgn0034660","FBgn0034660","Loxl2","37485","CG4402",21789622,21791580,-1,"2R","37485"
"FBgn0034661","FBgn0034661","tpr","37486","CG4386",21799329,21800904,-1,"2R","37486"
"FBgn0034662","FBgn0034662","CG13492","37487","CG13492",21820661,21831409,-1,"2R","37487"
"FBgn0034663","FBgn0034663","CG4363","37488","CG4363",21834229,21835047,-1,"2R","37488"
"FBgn0034664","FBgn0034664","CG4377","37489","CG4377",21835447,21836357,-1,"2R","37489"
"FBgn0034667","FBgn0034667","comr","37492","CG13493",21864869,21866859,-1,"2R","37492"
"FBgn0034670","FBgn0034670","CG13488","37496","CG13488",21951591,21952562,1,"2R","37496"
"FBgn0034671","FBgn0034671","CG13494","37497","CG13494",21954241,21954845,-1,"2R","37497"
"FBgn0034674","FBgn0034674","CG9304","37500","CG9304",21973121,21976386,1,"2R","37500"
"FBgn0034681","FBgn0034681","CG9308","37507","CG9308",22034843,22035666,1,"2R","37507"
"FBgn0034684","FBgn0034684","CG13501","37510","CG13501",22058903,22061517,-1,"2R","37510"
"FBgn0034687","FBgn0034687","CG11475","37513","CG11475",22069724,22071286,-1,"2R","37513"
"FBgn0034688","FBgn0034688","CG11474","37514","CG11474",22071233,22073443,-1,"2R","37514"
"FBgn0034689","FBgn0034689","CG2921","37515","CG2921",22073537,22075308,-1,"2R","37515"
"FBgn0034691","FBgn0034691","Synj","37517","CG6562",22080175,22085767,1,"2R","37517"
"FBgn0034692","FBgn0034692","CG13502","37518","CG13502",22085781,22088727,-1,"2R","37518"
"FBgn0034693","FBgn0034693","CG11073","37519","CG11073",22091488,22099534,-1,"2R","37519"
"FBgn0034694","FBgn0034694","Plekhm1","37520","CG6613",22103176,22105963,1,"2R","37520"
"FBgn0034697","FBgn0034697","GM130","37524","CG11061",22124566,22127502,-1,"2R","37524"
"FBgn0034700","FBgn0034700","CG11269","37527","CG11269",22138894,22139295,1,"2R","37527"
"FBgn0034703","FBgn0034703","CG3045","37531","CG3045",22172802,22174691,-1,"2R","37531"
"FBgn0034704","FBgn0034704","CG6758","37532","CG6758",22174921,22177428,1,"2R","37532"
"FBgn0034705","FBgn0034705","CG11170","37533","CG11170",22177418,22182879,-1,"2R","37533"
"FBgn0034706","FBgn0034706","CG11275","37534","CG11275",22179694,22182642,1,"2R","37534"
"FBgn0034707","FBgn0034707","MED16","37535","CG5465",22183137,22185892,1,"2R","37535"
"FBgn0034708","FBgn0034708","Vps35","37536","CG5625",22185971,22189886,1,"2R","37536"
"FBgn0034709","FBgn0034709","Swim","37537","CG3074",22189816,22202671,-1,"2R","37537"
"FBgn0034710","FBgn0034710","Alp7","37538","CG3292",22203693,22205593,-1,"2R","37538"
"FBgn0034712","FBgn0034712","Alp8","37540","CG3264",22208463,22210765,-1,"2R","37540"
"FBgn0034713","FBgn0034713","CG11291","37541","CG11291",22211370,22212704,1,"2R","37541"
"FBgn0034715","FBgn0034715","Oatp58Db","37544","CG3382",22221179,22223499,-1,"2R","37544"
"FBgn0034716","FBgn0034716","Oatp58Dc","37545","CG3380",22223680,22228574,-1,"2R","37545"
"FBgn0034717","FBgn0034717","CG5819","37547","CG5819",22293399,22296955,1,"2R","37547"
"FBgn0034718","FBgn0034718","wdp","37548","CG3413",22298213,22311937,-1,"2R","37548"
"FBgn0034720","FBgn0034720","Liprin-gamma","37552","CG11206",22333499,22373109,-1,"2R","37552"
"FBgn0034721","FBgn0034721","CG11298","37553","CG11298",22348306,22348875,1,"2R","37553"
"FBgn0034722","FBgn0034722","Rtf1","37554","CG10955",22375089,22378484,1,"2R","37554"
"FBgn0034723","FBgn0034723","CG13506","37556","CG13506",22383133,22394015,1,"2R","37556"
"FBgn0034724","FBgn0034724","babos","37557","CG3624",22393875,22402059,-1,"2R","37557"
"FBgn0034725","FBgn0034725","CG6044","37558","CG6044",22404176,22408540,1,"2R","37558"
"FBgn0034726","FBgn0034726","Mes4","37560","CG11301",22411788,22412582,1,"2R","37560"
"FBgn0034727","FBgn0034727","mRpS29","37563","CG3633",22418936,22420376,-1,"2R","37563"
"FBgn0034728","FBgn0034728","rad50","37564","CG6339",22421012,22425482,1,"2R","37564"
"FBgn0034729","FBgn0034729","CG10344","37565","CG10344",22425732,22426977,-1,"2R","37565"
"FBgn0034730","FBgn0034730","ppk12","37566","CG10972",22427478,22429584,1,"2R","37566"
"FBgn0034731","FBgn0034731","CG10384","37567","CG10384",22454740,22472994,1,"2R","37567"
"FBgn0034733","FBgn0034733","CG4752","37569","CG4752",22478378,22483054,1,"2R","37569"
"FBgn0034734","FBgn0034734","CG4554","37570","CG4554",22483302,22492033,1,"2R","37570"
"FBgn0034735","FBgn0034735","CG4610","37571","CG4610",22492196,22494295,1,"2R","37571"
"FBgn0034736","FBgn0034736","gas","37572","CG6018",22550093,22552113,1,"2R","37572"
"FBgn0034737","FBgn0034737","CG11362","37574","CG11362",22562306,22563131,1,"2R","37574"
"FBgn0034739","FBgn0034739","CG3927","37576","CG3927",22594676,22596348,1,"2R","37576"
"FBgn0034740","FBgn0034740","nsr","37577","CG3875",22650555,22653595,1,"2R","37577"
"FBgn0034741","FBgn0034741","CG4269","37578","CG4269",22597244,22600695,1,"2R","37578"
"FBgn0034742","FBgn0034742","CG4294","37579","CG4294",22600404,22605667,-1,"2R","37579"
